Dad,Tom,Will,AFC Wildcard 1,AFC Wildcard 2,AFC Divisional 1,AFC Divisional 2,AFC Championship,NFC Wildcard 1,NFC Wildcard 2,NFC Divisional 1,NFC Divisional 2,NFC Championship,Super Bowl,p
6,0,5,Ravens,Colts,Colts,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,7.532028000000001e-4
6,0,5,Chargers,Colts,Colts,Pats,Pats,Cowboys,Bears,Saints,Bears,Saints,Pats,5.021352000000001e-4
3,5,3,Ravens,Texans,Chiefs,Texans,Texans,Cowboys,Bears,Saints,Bears,Saints,Texans,6.7788252e-4
3,5,3,Chargers,Texans,Chiefs,Texans,Texans,Cowboys,Bears,Saints,Bears,Saints,Texans,4.5192168000000003e-4
3,1,7,Ravens,Colts,Chiefs,Ravens,Ravens,Cowboys,Bears,Saints,Bears,Saints,Ravens,9.942276960000001e-4
3,1,7,Chargers,Colts,Chiefs,Chargers,Chargers,Cowboys,Bears,Saints,Bears,Saints,Chargers,6.628184640000001e-4
4,1,6,Ravens,Texans,Ravens,Pats,Ravens,Cowboys,Bears,Saints,Bears,Saints,Ravens,0.0012854661120000003
4,1,6,Chargers,Texans,Chargers,Pats,Chargers,Cowboys,Bears,Saints,Bears,Saints,Chargers,8.569774080000002e-4
4,0,7,Ravens,Colts,Colts,Pats,Colts,Cowboys,Bears,Saints,Bears,Saints,Colts,6.8864256e-4
4,0,7,Chargers,Colts,Colts,Pats,Colts,Cowboys,Bears,Saints,Bears,Saints,Colts,4.5909504e-4
3,5,3,Ravens,Texans,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.002190053376
3,5,3,Chargers,Texans,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.0014600355840000004
3,4,4,Ravens,Colts,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.0017207562240000001
3,4,4,Chargers,Colts,Chiefs,Pats,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.0011471708160000003
2,6,3,Ravens,Texans,Chiefs,Texans,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.0010999152
2,6,3,Chargers,Texans,Chiefs,Texans,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,7.332768000000001e-4
2,4,5,Ravens,Colts,Chiefs,Ravens,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,0.00107547264
2,4,5,Chargers,Colts,Chiefs,Chargers,Chiefs,Seahawks,Bears,Saints,Bears,Saints,Chiefs,7.617931200000001e-4
5,3,3,Ravens,Texans,Chiefs,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,0.0015090836544000004
5,3,3,Chargers,Texans,Chiefs,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,0.0010060557696000003
5,2,4,Ravens,Colts,Chiefs,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,0.0011857085856
5,2,4,Chargers,Colts,Chiefs,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,7.904723904000002e-4
5,2,4,Ravens,Texans,Ravens,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,9.581483520000001e-4
5,2,4,Chargers,Texans,Chargers,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,6.786884160000002e-4
5,1,5,Ravens,Colts,Colts,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,6.416172e-4
5,1,5,Chargers,Colts,Colts,Pats,Pats,Seahawks,Bears,Saints,Bears,Saints,Pats,4.277448000000001e-4
2,6,3,Ravens,Texans,Chiefs,Texans,Texans,Seahawks,Bears,Saints,Bears,Saints,Texans,5.7745548e-4
2,6,3,Chargers,Texans,Chiefs,Texans,Texans,Seahawks,Bears,Saints,Bears,Saints,Texans,3.8497032e-4
2,2,7,Ravens,Colts,Chiefs,Ravens,Ravens,Seahawks,Bears,Saints,Bears,Saints,Ravens,8.46934704e-4
2,2,7,Chargers,Colts,Chiefs,Chargers,Chargers,Seahawks,Bears,Saints,Bears,Saints,Chargers,5.646231360000001e-4
3,2,6,Ravens,Texans,Ravens,Pats,Ravens,Seahawks,Bears,Saints,Bears,Saints,Ravens,0.001095026688
3,2,6,Chargers,Texans,Chargers,Pats,Chargers,Seahawks,Bears,Saints,Bears,Saints,Chargers,7.300177920000001e-4
3,1,7,Ravens,Colts,Colts,Pats,Colts,Seahawks,Bears,Saints,Bears,Saints,Colts,5.8662144e-4
3,1,7,Chargers,Colts,Colts,Pats,Colts,Seahawks,Bears,Saints,Bears,Saints,Colts,3.9108096000000004e-4
5,4,1,Ravens,Texans,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,0.0012378562560000001
5,4,1,Chargers,Texans,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,8.252375040000001e-4
5,3,2,Ravens,Colts,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,9.72601344e-4
5,3,2,Chargers,Colts,Chiefs,Pats,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,6.48400896e-4
4,5,1,Ravens,Texans,Chiefs,Texans,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,6.216911999999999e-4
4,5,1,Chargers,Texans,Chiefs,Texans,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,4.144608e-4
4,3,3,Ravens,Colts,Chiefs,Ravens,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,6.0787584e-4
4,3,3,Chargers,Colts,Chiefs,Chargers,Chiefs,Cowboys,Eagles,Saints,Cowboys,Saints,Chiefs,4.3057872000000003e-4
7,2,1,Ravens,Texans,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,8.529603264000001e-4
7,2,1,Chargers,Texans,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,5.686402176000001e-4
7,1,2,Ravens,Colts,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,6.701831136e-4
7,1,2,Chargers,Colts,Chiefs,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,4.4678874240000003e-4
7,1,2,Ravens,Texans,Ravens,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,5.415621120000001e-4
7,1,2,Chargers,Texans,Chargers,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,3.8360649600000006e-4
7,0,3,Ravens,Colts,Colts,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,3.6265319999999996e-4
7,0,3,Chargers,Colts,Colts,Pats,Pats,Cowboys,Eagles,Saints,Cowboys,Saints,Pats,2.417688e-4
4,5,1,Ravens,Texans,Chiefs,Texans,Texans,Cowboys,Eagles,Saints,Cowboys,Saints,Texans,3.2638788e-4
4,5,1,Chargers,Texans,Chiefs,Texans,Texans,Cowboys,Eagles,Saints,Cowboys,Saints,Texans,2.1759191999999998e-4
4,1,5,Ravens,Colts,Chiefs,Ravens,Ravens,Cowboys,Eagles,Saints,Cowboys,Saints,Ravens,4.78702224e-4
4,1,5,Chargers,Colts,Chiefs,Chargers,Chargers,Cowboys,Eagles,Saints,Cowboys,Saints,Chargers,3.19134816e-4
5,1,4,Ravens,Texans,Ravens,Pats,Ravens,Cowboys,Eagles,Saints,Cowboys,Saints,Ravens,6.18928128e-4
5,1,4,Chargers,Texans,Chargers,Pats,Chargers,Cowboys,Eagles,Saints,Cowboys,Saints,Chargers,4.1261875200000004e-4
5,0,5,Ravens,Colts,Colts,Pats,Colts,Cowboys,Eagles,Saints,Cowboys,Saints,Colts,3.3156863999999996e-4
5,0,5,Chargers,Colts,Colts,Pats,Colts,Cowboys,Eagles,Saints,Cowboys,Saints,Colts,2.2104576e-4
3,6,1,Ravens,Texans,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,0.0011690864640000003
3,6,1,Chargers,Texans,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,7.793909760000003e-4
3,5,2,Ravens,Colts,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,9.185679360000001e-4
3,5,2,Chargers,Colts,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,6.123786240000001e-4
2,7,1,Ravens,Texans,Chiefs,Texans,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,5.871528e-4
2,7,1,Chargers,Texans,Chiefs,Texans,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,3.9143520000000005e-4
2,5,3,Ravens,Colts,Chiefs,Ravens,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,5.7410496e-4
2,5,3,Chargers,Colts,Chiefs,Chargers,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,4.066576800000001e-4
5,4,1,Ravens,Texans,Chiefs,Pats,Pats,Seahawks,Eagles,Saints,Seahawks,Saints,Pats,8.055736416000002e-4
5,4,1,Chargers,Texans,Chiefs,Pats,Pats,Seahawks,Eagles,Saints,Seahawks,Saints,Pats,5.370490944000001e-4
5,3,2,Ravens,Colts,Chiefs,Pats,Pats,Seahawks,Eagles,Saints,Seahawks,Saints,Pats,6.329507184e-4
5,3,2,Chargers,Colts,Chiefs,Pats,Pats,Seahawks,Eagles,Saints,Seahawks,Saints,Pats,4.219671456000001e-4
5,3,2,Ravens,Texans,Ravens,Pats,Pats,Seahawks,Eagles,Saints,Seahawks,Saints,Pats,5.11475328e-4
5,3,2,Chargers,Texans,Chargers,Pats,Pats,Seahawks,Eagles,Saints,Seahawks,Saints,Pats,3.622950240000001e-4
5,2,3,Ravens,Colts,Colts,Pats,Pats,Seahawks,Eagles,Saints,Seahawks,Saints,Pats,3.425058e-4
5,2,3,Chargers,Colts,Colts,Pats,Pats,Seahawks,Eagles,Saints,Seahawks,Saints,Pats,2.2833720000000005e-4
2,7,1,Ravens,Texans,Chiefs,Texans,Texans,Seahawks,Eagles,Saints,Seahawks,Saints,Texans,3.0825522e-4
2,7,1,Chargers,Texans,Chiefs,Texans,Texans,Seahawks,Eagles,Saints,Seahawks,Saints,Texans,2.0550348e-4
2,3,5,Ravens,Colts,Chiefs,Ravens,Ravens,Seahawks,Eagles,Saints,Seahawks,Saints,Ravens,4.52107656e-4
2,3,5,Chargers,Colts,Chiefs,Chargers,Chargers,Seahawks,Eagles,Saints,Seahawks,Saints,Chargers,3.0140510400000005e-4
3,3,4,Ravens,Texans,Ravens,Pats,Ravens,Seahawks,Eagles,Saints,Seahawks,Saints,Ravens,5.84543232e-4
3,3,4,Chargers,Texans,Chargers,Pats,Chargers,Seahawks,Eagles,Saints,Seahawks,Saints,Chargers,3.8969548800000007e-4
3,2,5,Ravens,Colts,Colts,Pats,Colts,Seahawks,Eagles,Saints,Seahawks,Saints,Colts,3.1314816e-4
3,2,5,Chargers,Colts,Colts,Pats,Colts,Seahawks,Eagles,Saints,Seahawks,Saints,Colts,2.0876544000000003e-4
3,4,4,Ravens,Texans,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Rams,Chiefs,0.0023941951488000005
3,4,4,Chargers,Texans,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Rams,Chiefs,0.0015961300992000005
3,3,5,Ravens,Colts,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Rams,Chiefs,0.0018811533312000004
3,3,5,Chargers,Colts,Chiefs,Pats,Chiefs,Cowboys,Bears,Saints,Rams,Rams,Chiefs,0.0012541022208000002
2,5,4,Ravens,Texans,Chiefs,Texans,Chiefs,Cowboys,Bears,Saints,Rams,Rams,Chiefs,0.00120244176
2,5,4,Chargers,Texans,Chiefs,Texans,Chiefs,Cowboys,Bears,Saints,Rams,Rams,Chiefs,8.016278400000002e-4
2,3,6,Ravens,Colts,Chiefs,Ravens,Chiefs,Cowboys,Bears,Saints,Rams,Rams,Chiefs,0.0011757208320000003
2,3,6,Chargers,Colts,Chiefs,Chargers,Chiefs,Cowboys,Bears,Saints,Rams,Rams,Chiefs,8.328022560000002e-4
5,2,4,Ravens,Texans,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Rams,Rams,Pats,0.0016497500947200005
5,2,4,Chargers,Texans,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Rams,Rams,Pats,0.0010998333964800005
5,1,5,Ravens,Colts,Chiefs,Pats,Pats,Cowboys,Bears,Saints,Rams,Rams,Pats,0.0012962322172800002
