Winner,Dad_total,Tom_total,Will_total,Dad,Tom,Will,AFC Wildcard 1,AFC Wildcard 2,AFC Divisional 1,AFC Divisional 2,AFC Championship,NFC Wildcard 1,NFC Wildcard 2,NFC Divisional 1,NFC Divisional 2,NFC Championship,Super Bowl,p,p_adj
Will,7,1,9,5,1,4,Ravens,Texans,Ravens,Pats,Ravens,Cowboys,Eagles,Saints,Cowboys,Saints,Ravens,6.19e-4,7.860578120815108e-4
Will,7,1,9,5,1,4,Chargers,Texans,Chargers,Pats,Chargers,Cowboys,Eagles,Saints,Cowboys,Saints,Chargers,4.13e-4,5.244618358475993e-4
Will,7,0,10,5,0,5,Ravens,Colts,Colts,Pats,Colts,Cowboys,Eagles,Saints,Cowboys,Saints,Colts,3.32e-4,4.216012820857215e-4
Will,7,0,10,5,0,5,Chargers,Colts,Colts,Pats,Colts,Cowboys,Eagles,Saints,Cowboys,Saints,Colts,2.21e-4,2.806442269305556e-4
Will,5,5,7,3,5,2,Ravens,Colts,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,9.19e-4,0.0011670228260143916
Will,5,5,7,3,5,2,Chargers,Colts,Chiefs,Pats,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,6.12e-4,7.77168628423077e-4
Tom,4,7,6,2,7,1,Ravens,Texans,Chiefs,Texans,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,5.87e-4,7.454215439286701e-4
Tom,4,7,6,2,7,1,Chargers,Texans,Chiefs,Texans,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,3.91e-4,4.965244014925214e-4
Will,4,5,8,2,5,3,Ravens,Colts,Chiefs,Ravens,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,5.74e-4,7.289130599915787e-4
Will,4,5,8,2,5,3,Chargers,Colts,Chiefs,Chargers,Chiefs,Seahawks,Eagles,Saints,Seahawks,Saints,Chiefs,4.07e-4,5.168425355689417e-4
