tm,w,l,w_l_percent,gb,rs,ra,pyth_w_l_percent,division,as_of
BOS,6,10,0.375,6.0,73,98,0.368,AL East,2019-04-14
BAL,6,10,0.375,6.0,71,105,0.328,AL East,2019-04-14
TOR,5,11,0.313,7.0,56,66,0.425,AL East,2019-04-14
MIN,8,4,0.667,--,65,53,0.592,AL Central,2019-04-14
DET,8,7,0.533,1.5,40,49,0.408,AL Central,2019-04-14
CLE,8,7,0.533,1.5,52,55,0.474,AL Central,2019-04-14
CHW,5,9,0.357,4.0,64,89,0.354,AL Central,2019-04-14
KCR,5,10,0.333,4.5,74,83,0.448,AL Central,2019-04-14
SEA,13,5,0.722,--,126,91,0.645,AL West,2019-04-14
HOU,11,5,0.688,1.0,67,53,0.606,AL West,2019-04-14
LAA,8,7,0.533,3.5,59,57,0.516,AL West,2019-04-14
OAK,10,9,0.526,3.5,101,86,0.573,AL West,2019-04-14
TEX,7,7,0.5,4.0,72,75,0.481,AL West,2019-04-14
PHI,12,9,0.571,--,116,104,0.55,NL East,2019-04-21
NYM,11,10,0.524,1.0,114,133,0.43,NL East,2019-04-21
ATL,11,10,0.524,1.0,114,103,0.546,NL East,2019-04-21
WSN,10,10,0.5,1.5,109,99,0.544,NL East,2019-04-21
MIA,6,16,0.273,6.5,60,107,0.258,NL East,2019-04-21
PIT,12,7,0.632,--,68,59,0.565,NL Central,2019-04-21
STL,12,9,0.571,1.0,115,94,0.591,NL Central,2019-04-21
MIL,13,10,0.565,1.0,113,115,0.492,NL Central,2019-04-21
CHC,10,10,0.5,2.5,110,93,0.576,NL Central,2019-04-21
CIN,8,13,0.381,5.0,72,68,0.526,NL Central,2019-04-21
LAD,15,9,0.625,--,136,107,0.608,NL West,2019-04-21
SDP,12,11,0.522,2.5,77,94,0.41,NL West,2019-04-21
ARI,11,11,0.5,3.0,111,110,0.504,NL West,2019-04-21
COL,9,13,0.409,5.0,78,96,0.406,NL West,2019-04-21
SFG,9,14,0.391,5.5,67,80,0.42,NL West,2019-04-21
TBR,14,8,0.636,--,107,65,0.713,AL East,2019-04-21
NYY,11,10,0.524,2.5,109,82,0.627,AL East,2019-04-21
TOR,11,12,0.478,3.5,95,88,0.535,AL East,2019-04-21
BOS,9,13,0.409,5.0,93,131,0.348,AL East,2019-04-21
BAL,8,15,0.348,6.5,103,149,0.337,AL East,2019-04-21
MIN,12,7,0.632,--,107,87,0.594,AL Central,2019-04-21
CLE,12,9,0.571,1.0,83,84,0.495,AL Central,2019-04-21
DET,10,10,0.5,2.5,61,74,0.413,AL Central,2019-04-21
CHW,8,12,0.4,4.5,94,114,0.413,AL Central,2019-04-21
KCR,7,15,0.318,6.5,99,119,0.417,AL Central,2019-04-21
SEA,16,9,0.64,--,160,128,0.601,AL West,2019-04-21
HOU,13,8,0.619,1.0,98,78,0.603,AL West,2019-04-21
TEX,12,8,0.6,1.5,116,107,0.537,AL West,2019-04-21
OAK,11,13,0.458,4.5,110,116,0.476,AL West,2019-04-21
LAA,9,13,0.409,5.5,96,107,0.451,AL West,2019-04-21
PHI,16,12,0.571,--,145,131,0.546,NL East,2019-04-28
NYM,14,13,0.519,1.5,141,160,0.442,NL East,2019-04-28
ATL,13,14,0.481,2.5,142,139,0.51,NL East,2019-04-28
WSN,12,14,0.462,3.0,138,136,0.507,NL East,2019-04-28
MIA,8,20,0.286,8.0,78,136,0.266,NL East,2019-04-28
STL,17,10,0.63,--,149,121,0.594,NL Central,2019-04-28
CHC,14,12,0.538,2.5,143,117,0.591,NL Central,2019-04-28
MIL,15,14,0.517,3.0,143,150,0.478,NL Central,2019-04-28
PIT,12,14,0.462,4.5,84,105,0.399,NL Central,2019-04-28
CIN,11,16,0.407,6.0,101,91,0.548,NL Central,2019-04-28
LAD,19,11,0.633,--,162,131,0.596,NL West,2019-04-28
SDP,16,12,0.571,2.0,102,110,0.466,NL West,2019-04-28
ARI,16,13,0.552,2.5,155,135,0.563,NL West,2019-04-28
COL,13,15,0.464,5.0,121,129,0.471,NL West,2019-04-28
SFG,11,17,0.393,7.0,90,110,0.409,NL West,2019-04-28
TBR,18,9,0.667,--,127,83,0.685,AL East,2019-04-28
NYY,17,11,0.607,1.5,155,118,0.622,AL East,2019-04-28
TOR,14,14,0.5,4.5,117,106,0.545,AL East,2019-04-28
BOS,11,17,0.393,7.5,120,156,0.382,AL East,2019-04-28
BAL,10,19,0.345,9.0,122,184,0.32,AL East,2019-04-28
MIN,16,9,0.64,--,140,113,0.597,AL Central,2019-04-28
CLE,15,12,0.556,2.0,102,101,0.505,AL Central,2019-04-28
DET,12,14,0.462,4.5,91,114,0.398,AL Central,2019-04-28
CHW,11,14,0.44,5.0,126,141,0.449,AL Central,2019-04-28
KCR,9,19,0.321,8.5,127,148,0.43,AL Central,2019-04-28
HOU,17,11,0.607,--,132,104,0.607,AL West,2019-04-28
SEA,18,13,0.581,0.5,184,170,0.536,AL West,2019-04-28
TEX,14,13,0.519,2.5,162,151,0.532,AL West,2019-04-28
OAK,14,16,0.467,4.0,140,143,0.49,AL West,2019-04-28
LAA,12,17,0.414,5.5,136,142,0.48,AL West,2019-04-28
PHI,19,14,0.576,--,172,150,0.562,NL East,2019-05-05
ATL,18,16,0.529,1.5,174,161,0.535,NL East,2019-05-05
NYM,16,18,0.471,3.5,156,179,0.437,NL East,2019-05-05
WSN,14,19,0.424,5.0,159,170,0.469,NL East,2019-05-05
MIA,9,24,0.273,10.0,91,164,0.254,NL East,2019-05-05
CHC,19,12,0.613,--,183,132,0.645,NL Central,2019-05-05
STL,20,14,0.588,0.5,174,152,0.562,NL Central,2019-05-05
MIL,20,16,0.556,1.5,172,182,0.474,NL Central,2019-05-05
PIT,16,15,0.516,3.0,109,135,0.403,NL Central,2019-05-05
CIN,14,20,0.412,6.5,135,120,0.554,NL Central,2019-05-05
LAD,22,14,0.611,--,191,156,0.592,NL West,2019-05-05
ARI,20,14,0.588,1.0,187,157,0.579,NL West,2019-05-05
SDP,19,16,0.543,2.5,136,139,0.49,NL West,2019-05-05
COL,16,19,0.457,5.5,166,174,0.478,NL West,2019-05-05
SFG,15,19,0.441,6.0,118,148,0.398,NL West,2019-05-05
TBR,21,12,0.636,--,149,103,0.663,AL East,2019-05-05
NYY,19,14,0.576,2.0,171,135,0.606,AL East,2019-05-05
BOS,17,18,0.486,5.0,175,175,0.5,AL East,2019-05-05
TOR,15,19,0.441,6.5,133,140,0.477,AL East,2019-05-05
BAL,12,22,0.353,9.5,139,207,0.325,AL East,2019-05-05
MIN,20,12,0.625,--,166,141,0.574,AL Central,2019-05-05
CLE,18,14,0.563,2.0,118,124,0.477,AL Central,2019-05-05
DET,15,16,0.484,4.5,109,142,0.381,AL Central,2019-05-05
CHW,14,18,0.438,6.0,153,189,0.405,AL Central,2019-05-05
KCR,12,23,0.343,9.5,164,175,0.47,AL Central,2019-05-05
HOU,20,14,0.588,--,171,125,0.64,AL West,2019-05-05
SEA,19,17,0.528,2.0,204,194,0.523,AL West,2019-05-05
TEX,16,16,0.5,3.0,189,172,0.543,AL West,2019-05-05
LAA,15,19,0.441,5.0,158,174,0.456,AL West,2019-05-05
OAK,15,21,0.417,6.0,169,176,0.481,AL West,2019-05-05
PHI,23,16,0.59,--,202,163,0.597,NL East,2019-05-12
ATL,21,20,0.512,3.0,196,195,0.502,NL East,2019-05-12
NYM,19,20,0.487,4.0,180,195,0.463,NL East,2019-05-12
WSN,16,24,0.4,7.5,176,201,0.44,NL East,2019-05-12
MIA,10,29,0.256,13.0,105,196,0.242,NL East,2019-05-12
CHC,24,14,0.632,--,206,152,0.636,NL Central,2019-05-12
MIL,24,18,0.571,2.0,199,194,0.512,NL Central,2019-05-12
PIT,20,17,0.541,3.5,138,173,0.398,NL Central,2019-05-12
STL,22,19,0.537,3.5,206,186,0.547,NL Central,2019-05-12
CIN,18,23,0.439,7.5,171,141,0.587,NL Central,2019-05-12
LAD,27,16,0.628,--,227,174,0.619,NL West,2019-05-12
ARI,22,19,0.537,4.0,205,192,0.53,NL West,2019-05-12
SDP,22,19,0.537,4.0,162,173,0.47,NL West,2019-05-12
COL,19,21,0.475,6.5,207,212,0.489,NL West,2019-05-12
SFG,17,23,0.425,8.5,157,193,0.407,NL West,2019-05-12
TBR,24,15,0.615,--,180,123,0.667,AL East,2019-05-12
NYY,24,16,0.6,0.5,200,164,0.59,AL East,2019-05-12
BOS,22,19,0.537,3.0,220,193,0.56,AL East,2019-05-12
TOR,16,24,0.4,8.5,141,175,0.402,AL East,2019-05-12
BAL,14,26,0.35,10.5,159,234,0.33,AL East,2019-05-12
MIN,25,14,0.641,--,206,155,0.627,AL Central,2019-05-12
CLE,21,18,0.538,4.0,139,148,0.471,AL Central,2019-05-12
DET,18,20,0.474,6.5,134,183,0.361,AL Central,2019-05-12
CHW,18,21,0.462,7.0,182,207,0.441,AL Central,2019-05-12
KCR,14,27,0.341,12.0,186,206,0.453,AL Central,2019-05-12
HOU,26,15,0.634,--,221,152,0.665,AL West,2019-05-12
LAA,19,21,0.475,6.5,195,196,0.498,AL West,2019-05-12
SEA,20,23,0.465,7.0,230,244,0.473,AL West,2019-05-12
TEX,17,21,0.447,7.5,213,216,0.494,AL West,2019-05-12
OAK,19,23,0.452,7.5,186,193,0.483,AL West,2019-05-12
PHI,27,19,0.587,--,229,199,0.564,NL East,2019-05-19
ATL,25,22,0.532,2.5,231,225,0.512,NL East,2019-05-19
NYM,20,25,0.444,6.5,199,222,0.45,NL East,2019-05-19
WSN,19,27,0.413,8.0,206,236,0.438,NL East,2019-05-19
MIA,13,31,0.295,13.0,118,207,0.263,NL East,2019-05-19
CHC,27,17,0.614,--,238,179,0.627,NL Central,2019-05-19
MIL,28,21,0.571,1.5,239,225,0.528,NL Central,2019-05-19
PIT,24,20,0.545,3.0,169,208,0.406,NL Central,2019-05-19
STL,24,23,0.511,4.5,237,217,0.54,NL Central,2019-05-19
CIN,21,26,0.447,7.5,189,165,0.562,NL Central,2019-05-19
LAD,31,17,0.646,--,249,184,0.635,NL West,2019-05-19
ARI,25,22,0.532,5.5,241,213,0.556,NL West,2019-05-19
SDP,23,24,0.489,7.5,178,202,0.442,NL West,2019-05-19
COL,20,25,0.444,9.5,227,236,0.482,NL West,2019-05-19
SFG,20,25,0.444,9.5,175,217,0.403,NL West,2019-05-19
NYY,28,17,0.622,--,226,178,0.608,AL East,2019-05-19
TBR,27,17,0.614,0.5,195,141,0.644,AL East,2019-05-19
BOS,24,22,0.522,4.5,238,216,0.544,AL East,2019-05-19
TOR,19,27,0.413,9.5,169,194,0.437,AL East,2019-05-19
BAL,15,31,0.326,13.5,176,271,0.312,AL East,2019-05-19
MIN,30,16,0.652,--,262,188,0.647,AL Central,2019-05-19
CLE,25,20,0.556,4.5,179,166,0.534,AL Central,2019-05-19
CHW,21,24,0.467,8.5,199,236,0.423,AL Central,2019-05-19
DET,18,27,0.4,11.5,149,242,0.292,AL Central,2019-05-19
KCR,16,31,0.34,14.5,209,245,0.428,AL Central,2019-05-19
HOU,31,16,0.66,--,258,166,0.691,AL West,2019-05-19
TEX,21,23,0.477,8.5,254,244,0.518,AL West,2019-05-19
LAA,22,24,0.478,8.5,222,222,0.5,AL West,2019-05-19
OAK,23,25,0.479,8.5,229,212,0.535,AL West,2019-05-19
SEA,23,26,0.469,9.0,258,292,0.444,AL West,2019-05-19
PHI,31,22,0.585,--,263,236,0.549,NL East,2019-05-26
ATL,30,24,0.556,1.5,264,247,0.53,NL East,2019-05-26
NYM,26,26,0.5,4.5,239,251,0.478,NL East,2019-05-26
WSN,22,31,0.415,9.0,245,275,0.447,NL East,2019-05-26
MIA,16,34,0.32,13.5,150,242,0.294,NL East,2019-05-26
CHC,30,21,0.588,--,275,221,0.599,NL Central,2019-05-26
MIL,30,24,0.556,1.5,265,251,0.525,NL Central,2019-05-26
PIT,25,25,0.5,4.5,197,256,0.382,NL Central,2019-05-26
STL,26,26,0.5,4.5,260,240,0.537,NL Central,2019-05-26
CIN,24,28,0.462,6.5,223,191,0.57,NL Central,2019-05-26
LAD,35,18,0.66,--,285,206,0.644,NL West,2019-05-26
ARI,28,25,0.528,7.0,280,231,0.587,NL West,2019-05-26
SDP,28,25,0.528,7.0,214,224,0.479,NL West,2019-05-26
COL,24,27,0.471,10.0,269,275,0.49,NL West,2019-05-26
SFG,21,31,0.404,13.5,194,272,0.35,NL West,2019-05-26
NYY,34,18,0.654,--,280,215,0.619,AL East,2019-05-26
TBR,31,19,0.62,2.0,226,159,0.656,AL East,2019-05-26
BOS,28,25,0.528,6.5,277,244,0.558,AL East,2019-05-26
TOR,21,32,0.396,13.5,205,249,0.412,AL East,2019-05-26
BAL,16,37,0.302,18.5,219,327,0.324,AL East,2019-05-26
MIN,36,16,0.692,--,315,204,0.689,AL Central,2019-05-26
CLE,26,26,0.5,10.0,198,204,0.486,AL Central,2019-05-26
CHW,23,29,0.442,13.0,218,274,0.397,AL Central,2019-05-26
DET,19,32,0.373,16.5,174,275,0.302,AL Central,2019-05-26
KCR,18,34,0.346,18.0,236,277,0.427,AL Central,2019-05-26
HOU,35,19,0.648,--,279,190,0.669,AL West,2019-05-26
OAK,29,25,0.537,6.0,266,229,0.568,AL West,2019-05-26
TEX,25,25,0.5,8.0,283,270,0.522,AL West,2019-05-26
LAA,24,28,0.462,10.0,246,261,0.473,AL West,2019-05-26
SEA,23,32,0.418,12.5,279,328,0.427,AL West,2019-05-26
PHI,33,26,0.559,--,287,266,0.535,NL East,2019-06-02
ATL,32,27,0.542,1.0,291,283,0.513,NL East,2019-06-02
NYM,28,31,0.475,5.0,270,291,0.466,NL East,2019-06-02
WSN,26,33,0.441,7.0,278,298,0.468,NL East,2019-06-02
MIA,21,36,0.368,11.0,189,263,0.353,NL East,2019-06-02
MIL,34,26,0.567,--,304,286,0.528,NL Central,2019-06-02
CHC,31,26,0.544,1.5,294,248,0.577,NL Central,2019-06-02
STL,30,28,0.517,3.0,283,264,0.532,NL Central,2019-06-02
PIT,28,30,0.483,5.0,245,313,0.39,NL Central,2019-06-02
CIN,27,32,0.458,6.5,261,225,0.567,NL Central,2019-06-02
LAD,41,19,0.683,--,326,232,0.651,NL West,2019-06-02
COL,31,27,0.534,9.0,317,303,0.521,NL West,2019-06-02
SDP,30,29,0.508,10.5,232,260,0.448,NL West,2019-06-02
ARI,30,30,0.5,11.0,316,268,0.575,NL West,2019-06-02
SFG,24,34,0.414,16.0,224,300,0.369,NL West,2019-06-02
NYY,38,20,0.655,--,310,234,0.626,AL East,2019-06-02
TBR,35,22,0.614,2.5,267,189,0.653,AL East,2019-06-02
BOS,30,29,0.508,8.5,315,284,0.547,AL East,2019-06-02
TOR,21,38,0.356,17.5,221,286,0.384,AL East,2019-06-02
BAL,18,41,0.305,20.5,238,359,0.32,AL East,2019-06-02
MIN,40,18,0.69,--,347,238,0.666,AL Central,2019-06-02
CLE,29,30,0.492,11.5,234,250,0.47,AL Central,2019-06-02
CHW,29,30,0.492,11.5,252,295,0.428,AL Central,2019-06-02
DET,22,35,0.386,17.5,201,301,0.323,AL Central,2019-06-02
KCR,19,40,0.322,21.5,256,310,0.413,AL Central,2019-06-02
HOU,40,20,0.667,--,309,210,0.67,AL West,2019-06-02
TEX,30,27,0.526,8.5,323,296,0.54,AL West,2019-06-02
OAK,30,30,0.5,10.0,292,266,0.543,AL West,2019-06-02
LAA,29,30,0.492,10.5,300,293,0.511,AL West,2019-06-02
SEA,25,37,0.403,16.0,309,380,0.406,AL West,2019-06-02
PHI,37,28,0.569,--,316,292,0.536,NL East,2019-06-09
ATL,36,29,0.554,1.0,323,308,0.522,NL East,2019-06-09
NYM,32,33,0.492,5.0,299,312,0.481,NL East,2019-06-09
WSN,30,35,0.462,7.0,310,320,0.485,NL East,2019-06-09
MIA,23,40,0.365,13.0,221,286,0.384,NL East,2019-06-09
CHC,37,27,0.578,--,335,269,0.599,NL Central,2019-06-09
MIL,38,28,0.576,--,332,320,0.517,NL Central,2019-06-09
STL,31,32,0.492,5.5,293,286,0.511,NL Central,2019-06-09
PIT,30,34,0.469,7.0,272,350,0.387,NL Central,2019-06-09
CIN,29,35,0.453,8.0,273,240,0.559,NL Central,2019-06-09
LAD,45,21,0.682,--,349,240,0.665,NL West,2019-06-09
ARI,34,32,0.515,11.0,342,286,0.581,NL West,2019-06-09
COL,33,31,0.516,11.0,340,331,0.512,NL West,2019-06-09
SDP,33,33,0.5,12.0,264,295,0.449,NL West,2019-06-09
SFG,26,38,0.406,18.0,240,326,0.363,NL West,2019-06-09
NYY,40,24,0.625,--,339,270,0.603,AL East,2019-06-09
TBR,40,24,0.625,--,304,208,0.667,AL East,2019-06-09
BOS,34,32,0.515,7.0,347,313,0.547,AL East,2019-06-09
TOR,23,42,0.354,17.5,242,324,0.37,AL East,2019-06-09
BAL,20,45,0.308,20.5,261,385,0.329,AL East,2019-06-09
MIN,43,21,0.672,--,382,270,0.654,AL Central,2019-06-09
CLE,33,32,0.508,10.5,271,277,0.49,AL Central,2019-06-09
CHW,31,33,0.484,12.0,272,318,0.429,AL Central,2019-06-09
DET,24,39,0.381,18.5,225,338,0.322,AL Central,2019-06-09
KCR,20,45,0.308,23.5,272,344,0.394,AL Central,2019-06-09
HOU,45,22,0.672,--,342,245,0.648,AL West,2019-06-09
TEX,34,30,0.531,9.5,364,332,0.542,AL West,2019-06-09
OAK,34,33,0.507,11.0,332,306,0.537,AL West,2019-06-09
LAA,31,35,0.47,13.5,334,339,0.493,AL West,2019-06-09
SEA,28,41,0.406,18.0,355,421,0.423,AL West,2019-06-09
ATL,42,30,0.583,--,386,347,0.549,NL East,2019-06-16
PHI,39,32,0.549,2.5,346,340,0.508,NL East,2019-06-16
NYM,34,37,0.479,7.5,334,353,0.475,NL East,2019-06-16
WSN,33,38,0.465,8.5,352,351,0.501,NL East,2019-06-16
MIA,25,44,0.362,15.5,240,316,0.377,NL East,2019-06-16
MIL,40,31,0.563,--,361,349,0.515,NL Central,2019-06-16
CHC,39,32,0.549,1.0,363,302,0.583,NL Central,2019-06-16
STL,36,34,0.514,3.5,329,317,0.517,NL Central,2019-06-16
PIT,32,39,0.451,8.0,315,392,0.401,NL Central,2019-06-16
CIN,31,38,0.449,8.0,296,258,0.563,NL Central,2019-06-16
LAD,48,24,0.667,--,371,260,0.657,NL West,2019-06-16
ARI,38,35,0.521,10.5,384,326,0.574,NL West,2019-06-16
COL,37,34,0.521,10.5,405,393,0.514,NL West,2019-06-16
SDP,35,37,0.486,13.0,315,353,0.448,NL West,2019-06-16
SFG,30,39,0.435,16.5,266,348,0.379,NL West,2019-06-16
NYY,43,27,0.614,--,379,307,0.595,AL East,2019-06-16
TBR,43,28,0.606,0.5,336,239,0.651,AL East,2019-06-16
BOS,39,34,0.534,5.5,394,345,0.56,AL East,2019-06-16
TOR,26,45,0.366,17.5,280,359,0.388,AL East,2019-06-16
BAL,21,50,0.296,22.5,284,435,0.314,AL East,2019-06-16
MIN,47,23,0.671,--,417,301,0.645,AL Central,2019-06-16
CLE,37,33,0.529,10.0,300,291,0.514,AL Central,2019-06-16
CHW,34,36,0.486,13.0,302,359,0.422,AL Central,2019-06-16
DET,25,44,0.362,21.5,239,375,0.305,AL Central,2019-06-16
KCR,23,48,0.324,24.5,296,365,0.405,AL Central,2019-06-16
HOU,48,24,0.667,--,377,275,0.64,AL West,2019-06-16
TEX,38,33,0.535,9.5,400,366,0.541,AL West,2019-06-16
OAK,37,36,0.507,11.5,360,334,0.534,AL West,2019-06-16
LAA,35,37,0.486,13.0,363,366,0.496,AL West,2019-06-16
SEA,31,44,0.413,18.5,391,459,0.427,AL West,2019-06-16
ATL,46,32,0.59,--,427,378,0.556,NL East,2019-06-23
PHI,39,38,0.506,6.5,360,368,0.49,NL East,2019-06-23
WSN,37,40,0.481,8.5,383,377,0.507,NL East,2019-06-23
NYM,37,41,0.474,9.0,371,392,0.475,NL East,2019-06-23
MIA,30,46,0.395,15.0,267,337,0.395,NL East,2019-06-23
CHC,42,35,0.545,--,389,330,0.575,NL Central,2019-06-23
MIL,42,36,0.538,0.5,390,391,0.499,NL Central,2019-06-23
STL,40,37,0.519,2.0,355,340,0.52,NL Central,2019-06-23
PIT,36,40,0.474,5.5,346,418,0.414,NL Central,2019-06-23
CIN,36,40,0.474,5.5,334,286,0.571,NL Central,2019-06-23
LAD,54,25,0.684,--,415,282,0.67,NL West,2019-06-23
COL,40,37,0.519,13.0,434,417,0.518,NL West,2019-06-23
ARI,39,40,0.494,15.0,405,366,0.546,NL West,2019-06-23
SDP,38,40,0.487,15.5,343,380,0.453,NL West,2019-06-23
SFG,33,43,0.434,19.5,299,389,0.382,NL West,2019-06-23
NYY,49,28,0.636,--,425,332,0.611,AL East,2019-06-23
TBR,45,33,0.577,4.5,359,274,0.621,AL East,2019-06-23
BOS,42,37,0.532,8.0,423,372,0.559,AL East,2019-06-23
TOR,29,49,0.372,20.5,318,403,0.393,AL East,2019-06-23
BAL,22,56,0.282,27.5,313,494,0.303,AL East,2019-06-23
MIN,50,27,0.649,--,440,335,0.622,AL Central,2019-06-23
CLE,42,35,0.545,8.0,341,318,0.532,AL Central,2019-06-23
CHW,36,39,0.48,13.0,322,384,0.42,AL Central,2019-06-23
DET,26,48,0.351,22.5,260,404,0.309,AL Central,2019-06-23
KCR,27,51,0.346,23.5,333,392,0.426,AL Central,2019-06-23
HOU,49,30,0.62,--,405,310,0.62,AL West,2019-06-23
TEX,42,36,0.538,6.5,435,404,0.534,AL West,2019-06-23
OAK,42,38,0.525,7.5,401,360,0.549,AL West,2019-06-23
LAA,39,40,0.494,10.0,401,398,0.503,AL West,2019-06-23
SEA,35,47,0.427,15.5,435,498,0.438,AL West,2019-06-23
ATL,50,35,0.588,--,461,414,0.549,NL East,2019-06-30
PHI,44,40,0.524,5.5,412,408,0.504,NL East,2019-06-30
WSN,42,41,0.506,7.0,414,397,0.519,NL East,2019-06-30
NYM,38,47,0.447,12.0,404,439,0.462,NL East,2019-06-30
MIA,32,50,0.39,16.5,299,379,0.393,NL East,2019-06-30
CHC,45,39,0.536,--,426,362,0.574,NL Central,2019-06-30
MIL,45,39,0.536,--,406,410,0.496,NL Central,2019-06-30
STL,41,41,0.5,3.0,366,367,0.499,NL Central,2019-06-30
PIT,39,43,0.476,5.0,376,432,0.437,NL Central,2019-06-30
CIN,38,43,0.469,5.5,350,311,0.554,NL Central,2019-06-30
LAD,57,29,0.663,--,459,331,0.645,NL West,2019-06-30
COL,44,40,0.524,12.0,475,458,0.517,NL West,2019-06-30
SDP,42,41,0.506,13.5,379,396,0.48,NL West,2019-06-30
ARI,43,43,0.5,14.0,439,396,0.547,NL West,2019-06-30
SFG,36,47,0.434,19.5,326,415,0.391,NL West,2019-06-30
NYY,54,28,0.659,--,476,371,0.612,AL East,2019-06-30
TBR,48,36,0.571,7.0,383,300,0.61,AL East,2019-06-30
BOS,44,40,0.524,11.0,463,417,0.548,AL East,2019-06-30
TOR,31,53,0.369,24.0,355,439,0.404,AL East,2019-06-30
BAL,24,59,0.289,30.5,347,514,0.328,AL East,2019-06-30
MIN,53,30,0.639,--,474,361,0.622,AL Central,2019-06-30
CLE,45,38,0.542,8.0,357,357,0.5,AL Central,2019-06-30
CHW,39,42,0.481,13.0,351,420,0.419,AL Central,2019-06-30
DET,27,53,0.338,24.5,274,426,0.308,AL Central,2019-06-30
KCR,29,55,0.345,24.5,360,425,0.425,AL Central,2019-06-30
HOU,53,32,0.624,--,426,342,0.599,AL West,2019-06-30
TEX,46,38,0.548,6.5,456,420,0.538,AL West,2019-06-30
OAK,47,39,0.547,6.5,436,376,0.567,AL West,2019-06-30
LAA,42,43,0.494,11.0,424,426,0.498,AL West,2019-06-30
SEA,37,51,0.42,17.5,456,521,0.439,AL West,2019-06-30
ATL,54,37,0.593,--,491,432,0.558,NL East,2019-07-07
WSN,47,42,0.528,6.0,440,411,0.531,NL East,2019-07-07
PHI,47,43,0.522,6.5,442,440,0.502,NL East,2019-07-07
NYM,40,50,0.444,13.5,420,466,0.453,NL East,2019-07-07
MIA,33,55,0.375,19.5,312,399,0.389,NL East,2019-07-07
CHC,47,43,0.522,--,455,400,0.559,NL Central,2019-07-07
MIL,47,44,0.516,0.5,432,449,0.482,NL Central,2019-07-07
STL,44,44,0.5,2.0,393,391,0.502,NL Central,2019-07-07
PIT,44,45,0.494,2.5,432,468,0.463,NL Central,2019-07-07
CIN,41,46,0.471,4.5,368,341,0.535,NL Central,2019-07-07
LAD,60,32,0.652,--,480,351,0.639,NL West,2019-07-07
ARI,46,45,0.505,13.5,464,411,0.555,NL West,2019-07-07
SDP,45,45,0.5,14.0,402,437,0.462,NL West,2019-07-07
COL,44,45,0.494,14.5,490,488,0.502,NL West,2019-07-07
SFG,41,48,0.461,17.5,369,439,0.421,NL West,2019-07-07
NYY,57,31,0.648,--,503,390,0.614,AL East,2019-07-07
TBR,52,39,0.571,6.5,415,335,0.597,AL East,2019-07-07
BOS,49,41,0.544,9.0,509,451,0.555,AL East,2019-07-07
TOR,34,57,0.374,24.5,393,477,0.412,AL East,2019-07-07
BAL,27,62,0.303,30.5,375,540,0.339,AL East,2019-07-07
MIN,56,33,0.629,--,509,393,0.616,AL Central,2019-07-07
CLE,50,38,0.568,5.5,396,369,0.532,AL Central,2019-07-07
CHW,42,44,0.488,12.5,378,449,0.422,AL Central,2019-07-07
DET,28,58,0.326,26.5,311,472,0.318,AL Central,2019-07-07
KCR,30,61,0.33,27.0,382,472,0.404,AL Central,2019-07-07
HOU,57,33,0.633,--,458,367,0.6,AL West,2019-07-07
OAK,51,41,0.554,7.0,469,400,0.572,AL West,2019-07-07
TEX,48,42,0.533,9.0,485,461,0.523,AL West,2019-07-07
LAA,45,46,0.495,12.5,457,460,0.497,AL West,2019-07-07
SEA,39,55,0.415,20.0,479,550,0.437,AL West,2019-07-07
ATL,57,37,0.606,--,507,441,0.563,NL East,2019-07-14
WSN,49,43,0.533,7.0,451,418,0.535,NL East,2019-07-14
PHI,48,45,0.516,8.5,449,451,0.498,NL East,2019-07-14
NYM,42,51,0.452,14.5,434,478,0.456,NL East,2019-07-14
MIA,34,57,0.374,21.5,324,413,0.391,NL East,2019-07-14
CHC,50,43,0.538,--,477,410,0.569,NL Central,2019-07-14
MIL,48,46,0.511,2.5,447,471,0.476,NL Central,2019-07-14
STL,46,45,0.505,3.0,404,399,0.506,NL Central,2019-07-14
PIT,44,48,0.478,5.5,442,490,0.453,NL Central,2019-07-14
CIN,42,48,0.467,6.5,396,363,0.54,NL Central,2019-07-14
LAD,62,33,0.653,--,499,365,0.639,NL West,2019-07-14
ARI,47,47,0.5,14.5,472,422,0.551,NL West,2019-07-14
COL,46,46,0.5,14.5,512,516,0.496,NL West,2019-07-14
SDP,45,48,0.484,16.0,411,453,0.456,NL West,2019-07-14
SFG,43,49,0.467,17.5,391,454,0.432,NL West,2019-07-14
NYY,59,32,0.648,--,512,394,0.618,AL East,2019-07-14
TBR,55,40,0.579,6.0,448,346,0.616,AL East,2019-07-14
BOS,50,43,0.538,10.0,523,470,0.549,AL East,2019-07-14
TOR,35,59,0.372,25.5,397,486,0.409,AL East,2019-07-14
BAL,28,65,0.301,32.0,386,573,0.327,AL East,2019-07-14
MIN,58,34,0.63,--,523,402,0.618,AL Central,2019-07-14
CLE,51,40,0.56,6.5,405,383,0.526,AL Central,2019-07-14
CHW,42,47,0.472,14.5,383,470,0.407,AL Central,2019-07-14
KCR,32,62,0.34,27.0,402,490,0.41,AL Central,2019-07-14
DET,29,60,0.326,27.5,329,492,0.324,AL Central,2019-07-14
HOU,59,35,0.628,--,485,391,0.597,AL West,2019-07-14
OAK,54,41,0.568,5.5,490,405,0.586,AL West,2019-07-14
